,type,level,price,hands required,system,category,damage,damage type,range,critical effect,critical damage,capacity,usage,ammo type,power type,bulk,special,source,area,eac bonus,kac bonus,max dex bonus,armor check penalty,speed adjustment,armor slots,weapon slots,upgrade slots,shield bonus,aligned shield bonus,speed,max speed,str,cover,hp,hardness,passengers
horacalcum, Special Material  Raw,-,875,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
inubrix, Special Material  Raw,-,625,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
noqual, Special Material  Raw,-,500,-,-,-,-,-,-,-,-,-,-,-,-,-,Gain +4 to saves against magical effects,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
siccatite, Special Material  Raw,-,625,-,-,-,-,-,-,-,-,-,-,-,-,-,Immune to cold and fire damage,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
silver, Special Material  Raw,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
accurate,Fusion,5,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
adaptive,Fusion,6,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,AP19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
advancing,Fusion,6,-,-,-,-,-,-,-,Kill Effect,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
anarchic,Fusion,2,-,-,-,-,-,-,-,Bypass DR,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
anchoring,Fusion,1,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
annihilator,Fusion,8,-,-,-,-,-,-,-,Kill Effect,-,-,-,-,-,-,-,AP02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
apprehending,Fusion,5,-,-,-,-,-,-,-,Limited Attack Modifier,-,-,-,-,-,-,-,PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
asute,Fusion,3,-,-,-,-,-,-,-,Defensive,-,-,-,-,-,-,-,PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
axiomatic,Fusion,2,-,-,-,-,-,-,-,Bypass DR,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bane,Fusion,5,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
beneficient,Fusion,9,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
binding,Fusion,3,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,AP01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
blasting,Fusion,2,-,-,-,-,-,-,-,Limited Attack Modifier,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bleeding,Fusion,5,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bombarding,Fusion,5,-,-,-,-,-,-,-,Limited Attack Modifier,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bonding,Fusion,4,-,-,-,-,-,-,-,Defensive,-,-,-,-,-,-,-,PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
burdening,Fusion,9,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
burning,Fusion,4,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,AP01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
burst,Fusion,2,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
called,Fusion,1,-,-,-,-,-,-,-,Utility,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
chained,Fusion,6,-,-,-,-,-,-,-,Limited Attack Modifier,-,-,-,-,-,-,-,AP01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
charge disrupting,Fusion,7,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
conserving,Fusion,3,-,-,-,-,-,-,-,Utility,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
continuous,Fusion,8,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
corrosive,Fusion,9,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cruel,Fusion,6,-,-,-,-,-,-,-,Kill Effect,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dampening,Fusion,6,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,AP20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
deafening,Fusion,3,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
defending,Fusion,3,-,-,-,-,-,-,-,Defensive,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
defiant,Fusion,1,-,-,-,-,-,-,-,Defensive,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
devastating,Fusion,5,-,-,-,-,-,-,-,Fusion Enhancement,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dimensional disruption,Fusion,6,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,Relic,AP05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dispelling,Fusion,3,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
disruptive,Fusion,3,-,-,-,-,-,-,-,Bypass DR,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
durable,Fusion,1,-,-,-,-,-,-,-,Defensive,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
emp,Fusion,6,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,AA3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
energetic,Fusion,5,-,-,-,-,-,-,-,Utility,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ensnaring,Fusion,6,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
entangling,Fusion,2,-,-,-,-,-,-,-,Limited Attack Modifier,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
flaming,Fusion,5,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
frost,Fusion,5,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ghost killer,Fusion,5,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
glamered,Fusion,1,-,-,-,-,-,-,-,Defensive,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
guarded,Fusion,8,-,-,-,-,-,-,-,Defensive,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
hive buster,Fusion,6,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,AP20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
holy,Fusion,2,-,-,-,-,-,-,-,Bypass DR,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
hybridized,Fusion,1,-,-,-,-,-,-,-,Utility,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
illuminating,Fusion,1,-,-,-,-,-,-,-,Utility,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
inspiring,Fusion,2,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
interposing,Fusion,5,-,-,-,-,-,-,-,Defensive,-,-,-,-,-,-,-,PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
invigorating,Fusion,1,-,-,-,-,-,-,-,Kill Effect,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
knockdown,Fusion,6,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
leeching,Fusion,8,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,AA2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lightveiled,Fusion,10,-,-,-,-,-,-,-,Utility,-,-,-,-,-,-,-,AA3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
limning,Fusion,5,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malediction,Fusion,9,-,-,-,-,-,-,-,Limited Attack Modifier,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
manufacturing,Fusion,4,-,-,-,-,-,-,-,Utility,-,-,-,-,-,-,-,PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
menacing,Fusion,6,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
merciful,Fusion,2,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mind rending,Fusion,7,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mindreading,Fusion,13,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nanite,Fusion,6,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,AA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nullifying,Fusion,10,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
numbing,Fusion,5,-,-,-,-,-,-,-,Limited Attack Modifier,-,-,-,-,-,-,-,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
obscuring,Fusion,5,-,-,-,-,-,-,-,Defensive,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ominous,Fusion,1,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
opportunistic,Fusion,2,-,-,-,-,-,-,-,Limited Attack Modifier,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
potent,Fusion,3,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
punishing,Fusion,5,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ratjaw,Fusion,9,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
rebounding,Fusion,8,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
returning,Fusion,1,-,-,-,-,-,-,-,Utility,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
secured,Fusion,1,-,-,-,-,-,-,-,Defensive,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
seeking,Fusion,3,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
selective,Fusion,5,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sentinel,Fusion,3,-,-,-,-,-,-,-,Utility,-,-,-,-,-,-,-,PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
shock,Fusion,5,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
soulfire,Fusion,1,-,-,-,-,-,-,-,Solarian Weapon Crystal Modifier,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
spellbane,Fusion,6,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,AP01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
spellthrower,Fusion,2,-,-,-,-,-,-,-,Utility,-,-,-,-,-,-,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
stabilizing,Fusion,1,-,-,-,-,-,-,-,Utility,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
synesthetic,Fusion,8,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,AA2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tactical,Fusion,4,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tattoo,Fusion,7,-,-,-,-,-,-,-,Utility,-,-,-,-,-,-,-,PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
temporal disruption,Fusion,8,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,Relic,AP05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
throwing,Fusion,2,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
thundering,Fusion,9,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,CRB,-,9,10,8,0,0,-,-,0,-,-,-,-,-,-,-,-,-
tracking,Fusion,10,-,-,-,-,-,-,-,Utility,-,-,-,-,-,-,-,AR,-,12,13,8,0,0,-,-,0,-,-,-,-,-,-,-,-,-
trailblazer,Fusion,1,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,CRB,-,6,7,7,0,0,-,-,0,-,-,-,-,-,-,-,-,-
tritidair,Fusion,8,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,AA2,-,10,10,6,0,0,-,-,0,-,-,-,-,-,-,-,-,-
ulrikka duster,Fusion,2,-,-,-,-,-,-,-,Constant Attack Modifier,-,-,-,-,-,-,-,PW,-,5,5,5,0,0,-,-,0,-,-,-,-,-,-,-,-,-
unholy,Fusion,2,-,-,-,-,-,-,-,Bypass DR,-,-,-,-,-,-,-,CRB,-,15,15,7,0,0,-,-,0,-,-,-,-,-,-,-,-,-
valorous,Fusion,3,-,-,-,-,-,-,-,Defensive,-,-,-,-,-,-,-,NS,-,23,27,3,5,10,-,-,6,-,-,-,-,-,-,-,-,-
vanishing,Fusion,4,-,-,-,-,-,-,-,Defensive,-,-,-,-,-,-,-,AR,-,25,28,4,4,10,-,-,7,-,-,-,-,-,-,-,-,-
venomous,Fusion,2,-,-,-,-,-,-,-,Limited Attack Modifier,-,-,-,-,-,-,-,CRB,-,17,19,3,5,10,-,-,5,-,-,-,-,-,-,-,-,-
vicious,Fusion,5,-,-,-,-,-,-,-,Limited Attack Modifier,-,-,-,-,-,-,-,AP02,-,15,17,3,3,10,-,-,2,-,-,-,-,-,-,-,-,-
vorpal,Fusion,10,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,CRB,-,5,7,2,3,10,-,-,1,-,-,-,-,-,-,-,-,-
wounding,Fusion,7,-,-,-,-,-,-,-,Critical Hit Effect,-,-,-,-,-,-,-,CRB,-,17,19,7,1,0,-,-,4,-,-,-,-,-,-,-,-,-
"abadarcorp travel suit, gold",Armor,9,12100,-,-,Light,-,-,-,-,-,-,-,-,-,L,-,CRB,-,3,4,4,1,0,-,-,1,-,-,-,-,-,-,-,-,-
"abadarcorp travel suit, platinum",Armor,12,34600,-,-,Light,-,-,-,-,-,-,-,-,-,L,-,CRB,-,21,23,8,1,0,-,-,6,-,-,-,-,-,-,-,-,-
"abadarcorp travel suit, silver",Armor,7,7250,-,-,Light,-,-,-,-,-,-,-,-,-,L,-,CRB,-,12,14,5,1,0,-,-,3,-,-,-,-,-,-,-,-,-
"acrochor hide, advanced",Armor,8,8250,-,-,Light,-,-,-,-,-,-,-,-,-,L,Archaic,AP04,-,10,12,2,3,10,-,-,5,-,-,-,-,-,-,-,-,-
"acrochor hide, basic",Armor,4,2100,-,-,Light,-,-,-,-,-,-,-,-,-,L,Archaic,AP04,-,6,8,2,2,5,-,-,1,-,-,-,-,-,-,-,-,-
"acrochor hide, elite",Armor,12,28000,-,-,Light,-,-,-,-,-,-,-,-,-,L,Archaic,AP04,-,1,3,2,3,10,-,-,3,-,-,-,-,-,-,-,-,-
"aegis series, elite",Armor,17,209000,-,-,Heavy,-,-,-,-,-,-,-,-,-,3,-,CRB,-,3,3,5,0,0,-,-,0,-,-,-,-,-,-,-,-,-
"aegis series, specialist",Armor,20,932000,-,-,Heavy,-,-,-,-,-,-,-,-,-,3,-,CRB,-,12,12,5,0,0,-,-,2,-,-,-,-,-,-,-,-,-
"aegis series, squad",Armor,12,45200,-,-,Heavy,-,-,-,-,-,-,-,-,-,3,-,CRB,-,5,6,5,0,0,-,-,1,-,-,-,-,-,-,-,-,-
"battle dress, ag command",Armor,10,18750,-,-,Heavy,-,-,-,-,-,-,-,-,-,3,Aeon slot (3),AA,-,8,9,5,0,0,-,-,2,-,-,-,-,-,-,-,-,-
"battle dress, ag trooper",Armor,3,1650,-,-,Heavy,-,-,-,-,-,-,-,-,-,3,Aeon slot,AA,-,11,12,6,0,0,-,-,3,-,-,-,-,-,-,-,-,-
"carbon skin, diamond",Armor,15,126400,-,-,Light,-,-,-,-,-,-,-,-,-,1,-,CRB,-,16,17,6,0,0,-,-,4,-,-,-,-,-,-,-,-,-
"carbon skin, graphite",Armor,3,1220,-,-,Light,-,-,-,-,-,-,-,-,-,1,-,CRB,-,20,21,7,0,0,-,-,5,-,-,-,-,-,-,-,-,-
"carbon skin, nanotube",Armor,20,825000,-,-,Light,-,-,-,-,-,-,-,-,-,1,-,CRB,-,21,22,8,0,0,-,-,6,-,-,-,-,-,-,-,-,-
"carbon skin, white carbon",Armor,10,19650,-,-,Light,-,-,-,-,-,-,-,-,-,1,-,CRB,-,10,13,2,4,10,-,-,2,-,-,-,-,-,-,-,-,-
"ceremonial plate, commander",Armor,7,7350,-,-,Heavy,-,-,-,-,-,-,-,-,-,3,-,CRB,-,15,18,2,4,10,-,-,3,-,-,-,-,-,-,-,-,-
"ceremonial plate, officer",Armor,4,2275,-,-,Heavy,-,-,-,-,-,-,-,-,-,2,-,CRB,-,5,8,1,4,10,-,-,1,-,-,-,-,-,-,-,-,-
"ceremonial plate, troop",Armor,1,110,-,-,Heavy,-,-,-,-,-,-,-,-,-,3,-,CRB,-,5,5,4,0,0,-,-,1,-,-,-,-,-,-,-,-,-
clearweave i,Armor,3,1350,-,-,Light,-,-,-,-,-,-,-,-,-,L,-,AR,-,14,16,5,0,0,-,-,3,-,-,-,-,-,-,-,-,-
clearweave ii,Armor,9,13150,-,-,Light,-,-,-,-,-,-,-,-,-,L,-,AR,-,19,21,6,0,0,-,-,4,-,-,-,-,-,-,-,-,-
dsuit i,Armor,5,2980,-,-,Light,-,-,-,-,-,-,-,-,-,L,-,CRB,-,9,11,4,0,0,-,-,2,-,-,-,-,-,-,-,-,-
dsuit ii,Armor,7,6900,-,-,Light,-,-,-,-,-,-,-,-,-,L,-,CRB,-,5,8,3,2,5,-,-,0,-,-,-,-,-,-,-,-,-
dsuit iii,Armor,9,13300,-,-,Light,-,-,-,-,-,-,-,-,-,L,-,CRB,-,14,18,3,2,5,-,-,2,-,-,-,-,-,-,-,-,-
dsuit iv,Armor,13,45800,-,-,Light,-,-,-,-,-,-,-,-,-,L,-,CRB,-,23,25,4,2,5,-,-,5,-,-,-,-,-,-,-,-,-
dsuit v,Armor,17,244300,-,-,Light,-,-,-,-,-,-,-,-,-,L,-,CRB,-,10,13,3,2,5,-,-,1,-,-,-,-,-,-,-,-,-
dsuit vi,Armor,19,552000,-,-,Light,-,-,-,-,-,-,-,-,-,L,-,CRB,-,15,16,6,0,0,-,-,0,-,-,-,-,-,-,-,-,-
"defiance series, elite",Armor,7,6300,-,-,Heavy,-,-,-,-,-,-,-,-,-,3,-,CRB,-,5,7,5,0,0,-,-,0,-,-,-,-,-,-,-,-,-
"defiance series, specialist",Armor,10,16950,-,-,Heavy,-,-,-,-,-,-,-,-,-,3,-,CRB,-,18,19,8,0,0,-,-,0,-,-,-,-,-,-,-,-,-
"defiance series, squad",Armor,3,1220,-,-,Heavy,-,-,-,-,-,-,-,-,-,3,-,CRB,-,15,16,8,0,0,-,-,0,-,-,-,-,-,-,-,-,-
defrex hide,Armor,4,2250,-,-,Light,-,-,-,-,-,-,-,-,-,L,-,CRB,-,9,10,2,4,10,-,-,2,-,-,-,-,-,-,-,-,-
"defrex hide, advanced",Armor,12,33000,-,-,Light,-,-,-,-,-,-,-,-,-,L,Dermal plating,AA3,-,17,19,2,4,10,-,-,4,-,-,-,-,-,-,-,-,-
"defrex hide, elite",Armor,16,142000,-,-,Light,-,-,-,-,-,-,-,-,-,L,Dermal plating,AA3,-,21,23,3,3,10,-,-,5,-,-,-,-,-,-,-,-,-
"defrex hide, mature",Armor,8,9000,-,-,Light,-,-,-,-,-,-,-,-,-,L,Dermal plating,AA3,-,21,22,4,0,0,-,-,5,-,-,-,-,-,-,-,-,-
"dendron armor, ash",Armor,4,2100,-,-,Heavy,-,-,-,-,-,-,-,-,-,2,-,AR,-,0,1,5,1,0,-,-,2,-,-,-,-,-,-,-,-,-
"dendron armor, oak",Armor,10,18450,-,-,Heavy,-,-,-,-,-,-,-,-,-,2,-,AR,-,4,5,5,1,0,-,-,3,-,-,-,-,-,-,-,-,-
"dendron armor, sequoia",Armor,17,256500,-,-,Heavy,-,-,-,-,-,-,-,-,-,2,-,AR,-,7,8,5,1,0,-,-,4,-,-,-,-,-,-,-,-,-
"dendron armor, yew",Armor,7,6600,-,-,Heavy,-,-,-,-,-,-,-,-,-,2,-,AR,-,15,16,6,1,0,-,-,6,-,-,-,-,-,-,-,-,-
"dust manta hide, advanced",Armor,12,43250,-,-,Light,-,-,-,-,-,-,-,-,-,L,-,AA2,-,10,12,3,3,5,-,-,3,-,-,-,-,-,-,-,-,-
"dust manta hide, basic",Armor,6,5150,-,-,Light,-,-,-,-,-,-,-,-,-,L,-,AA2,-,7,8,2,3,5,-,-,2,-,-,-,-,-,-,-,-,-
"echelon fashion, bespoke",Armor,17,285000,-,-,Light,-,-,-,-,-,-,-,-,-,L,-,CRB,-,15,17,3,4,5,-,-,3,-,-,-,-,-,-,-,-,-
"echelon fashion, ready to wear",Armor,14,71300,-,-,Light,-,-,-,-,-,-,-,-,-,L,-,CRB,-,24,27,3,4,10,-,-,3,-,-,-,-,-,-,-,-,-
enforcer armor i,Armor,5,3100,-,-,Heavy,-,-,-,-,-,-,-,-,-,3,-,AR,-,16,19,3,4,10,-,-,1,-,-,-,-,-,-,-,-,-
enforcer armor ii,Armor,11,23725,-,-,Heavy,-,-,-,-,-,-,-,-,-,3,-,AR,-,5,8,1,3,5,-,-,0,-,-,-,-,-,-,-,-,-
enforcer armor iii,Armor,15,101150,-,-,Heavy,-,-,-,-,-,-,-,-,-,3,-,AR,-,3,6,1,3,5,-,-,0,-,-,-,-,-,-,-,-,-
enginerunner,Armor,15,120900,-,-,Heavy,-,-,-,-,-,-,-,-,-,2,-,CRB,-,9,9,2,2,5,-,-,1,-,-,-,-,-,-,-,-,-
estex suit i,Armor,1,410,-,-,Light,-,-,-,-,-,-,-,-,-,1,-,CRB,-,19,19,4,2,5,-,-,5,-,-,-,-,-,-,-,-,-
estex suit ii,Armor,5,2700,-,-,Light,-,-,-,-,-,-,-,-,-,1,-,CRB,-,25,25,6,2,5,-,-,6,-,-,-,-,-,-,-,-,-
estex suit iii,Armor,7,5500,-,-,Light,-,-,-,-,-,-,-,-,-,1,-,CRB,-,2,3,4,0,0,-,-,0,-,-,-,-,-,-,-,-,-
extex suit iv,Armor,13,49250,-,-,Light,-,-,-,-,-,-,-,-,-,1,-,CRB,-,6,8,5,0,0,-,-,1,-,-,-,-,-,-,-,-,-
"formian hide, advanced",Armor,7,6100,-,-,Heavy,-,-,-,-,-,-,-,-,-,2,-,PW,-,12,13,6,0,0,-,-,3,-,-,-,-,-,-,-,-,-
"formian hide, basic",Armor,4,2400,-,-,Heavy,-,-,-,-,-,-,-,-,-,2,-,PW,-,17,18,6,0,0,-,-,4,-,-,-,-,-,-,-,-,-
"formian hide, superior",Armor,10,16500,-,-,Heavy,-,-,-,-,-,-,-,-,-,2,-,PW,-,20,21,8,0,0,-,-,5,-,-,-,-,-,-,-,-,-
"formian plate, myrmarch",Armor,19,557000,-,-,Heavy,-,-,-,-,-,-,-,-,-,3,ER sonic 5,AA2,-,2,5,0,3,10,-,-,0,-,-,-,-,-,-,-,-,-
